Tumour Size,Lymph nodes,Metastasis,Oestrogen,Age,Tumour Stage,Surgery,Adjuvant therapy,Survival > 10y,Pain Pre,Pain Post,Pain Follow,Virtual Evidence Pain,Fatigue Pre,Fatigue Post,Fatigue Follow,Virtual Evidence Fatigue,Body Image Pre,Body Image Post,Body Image Follow,Virtual Evidence Body Image,_weight
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.00643125
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.0091875
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00275625
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.010536094
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.015051563
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004515469
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.005673281
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.008104688
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.002431406
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005673281
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.008104688
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002431406
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003054844
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.004364063
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001309219
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.000853125
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00121875
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000365625
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.000459375
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.00065625
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000196875
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.0207025
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.029575
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.0088725
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.0111475
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.015925
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.0047775
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005175625
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.00739375
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002218125
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.002786875
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.00398125
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001194375
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.013934375
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.01990625
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.005971875
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.007503125
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.01071875
,,no,negative,x50_59,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.003215625
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.010536094
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.015051563
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004515469
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.005673281
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.008104688
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.002431406
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005673281
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.008104688
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002431406
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003054844
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.004364063
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001309219
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.000853125
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00121875
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000365625
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.000459375
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.00065625
,,no,negative,x50_59,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000196875
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.0207025
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.029575
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.0088725
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.0111475
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.015925
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.0047775
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005175625
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.00739375
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002218125
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.002786875
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.00398125
,,no,negative,x50_59,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001194375
